title,text,subject,date,,
กินผลิตภัณฑ์วิตามินซี รักษาไข้หวัดได้, ไม่เป็นความจริง วิตามินซีมีข้อบ่งใช้ในการป้องกันและรักษาอาการขาดวิตามินซีเช่น เลือดออกตามไรฟัน ไม่ได้มีข้อบ่งใช้เพื่อรักษาอาการหวัดแต่อย่างใด,News,19-ม.ค.-20,,
เตียง ICU สำหรับรับผู้ป่วยโควิด-19 เต็ม,จากกรณีที่มีการโพสต์ข้อความ เมื่อวันที่ 16 เม.ย. 2563 ว่า เตียงสำหรับผู้ป่วยโควิด-19 เต็มแล้ว ที่รพ.ขนาดใหญ่ก็เต็ม นี่ขนาดตัวเลขผู้ติดเชื้อรายใหม่ยังน้อย โดยได้ระบุว่าเป็นคำพูดของแพทย์ท่านหนึ่งในโรงพยาบาลเอกชน ทางกรมการแพทย์ได้ชี้แจงจึงประเด็นดังกล่าวว่า ไม่เป็นความจริง ประเทศไทย ทั้งในส่วนกรุงเทพปริมณฑล และในส่วนภูมิภาค ยังมีเตียง ICU และเครื่องช่วยหายใจสำรองไว้อย่างเพียงพอ ,News,19-ม.ค.-20,,
แบบฟอร์มลงทะเบียนขอรับวัคซีนโควิด-19 สำหรับผู้ประกอบการร้านอาหาร จากโรงพยาบาลศิริราช,โรงพยาบาลศิริราช ไม่มีความเกี่ยวข้องแต่อย่างใดกับแบบฟอร์มการลงทะเบียนขอรับวัคซีนผู้ประกอบการร้านอาหาร สำหรับสมาคมภัตตาคารไทย (สำหรับพนักงานร้าน),News,19-ม.ค.-20,,
"รัฐบาลเตรียมสั่งทุบวัดในเขตอุทยาน 6,000 แห่งทั่วประเทศ",กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช ได้ชี้แจงเรื่องดังกล่าวว่า ไม่มีการสั่งทุบวัดแต่อย่างใด รัฐบาลโดยกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อมมีนโยบายการในการอนุรักษ์ทรัพยากรธรรมชาติ ร่วมกับวัด และสำนักสงฆ์ภายใต้โครงการพุทธอุทยาน ที่ดำเนินการเพื่อเป็นการแสดงว่าพระสงฆ์สามารถพักอาศัยอยู่ในพื้นที่ป่าไม้ได้อย่างถูกต้องตามกฎหมาย,News,19-ม.ค.-20,,
พบผู้ติดเชื้อ COVID-19 ในโรงพยาบาลย่านศรีราชา,โรงพยาบาลเอกชนแห่งหนึ่งในศรีราชา พบผู้ติดเชื้อ COVID-19 ซึ่งข้อความดังกล่าวทำให้ประชาชนตื่นตระหนก ทางโรงพยาบาลต้นเรื่องจึงได้ออกมาชี้แจงว่า ที่ผ่านมายังไม่พบผู้ป่วยรายใดที่ผลตรวจเป็นบวก ทางรพ.พบผู้ป่วยที่เข้าข่ายต้องสงสัย เข้ามาตรวจในโรงพยาบาล และเพื่อเป็นการป้องกันการแพร่ระบาดของเชื้อไวรัส COVID-19 ทางโรงพยาบาลจึงมีมาตรการป้องกันการติดเชื้อ,News,1-มี.ค.-20,,
จิบน้ำขมิ้นชัน ช่วยป้องกันโรคมะเร็ง,จิบน้ำขมิ้นชัน ช่วยป้องกันโรคมะเร็ง ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางสถาบันมะเร็งแห่งชาติ กรมการแพทย์ กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ,News,4-มี.ค.-20,,
บุคลากรทางการแพทย์ ติดโควิดวันเดียว 15 ราย,บุคลากรทางการแพทย์ กทม. 15 รายนั้น ไม่ได้ติดโควิด-19 ตามที่กล่าวอ้าง ซึ่งข่าวที่มีการแชร์ทำให้ประชาชนเข้าใจผิด และสร้างความตระหนกตกใจแก่ประชาชน,News,4-มี.ค.-20,,
พนง.ขับรถบรรทุกผลไม้ ติดเชื้อไวรัส COVID-19 เสียชีวิต,จากกรณีที่มีการแชร์คลิปวีดีโอ พร้อมข้อความว่าชายไทย อาชีพขับรถบรรทุกขนผักผลไม้ นอนเสียชีวิตในรถ จนทำให้มีข่าวลือว่าติดเชื้อไวรัส COVID-19 แล้วเสียชีวิตนั้น กระทรวงสาธารณสุขประจำจังหวัดได้ออกมายืนยันแล้วว่า ชายคนดังกล่าวไม่ได้เสียชีวิตด้วยเชื้อไวรัส COVID-19 ,News,4-มี.ค.-20,,
โรงพยาบาลแห่งหนึ่งในจังหวัดสกลนคร พบผู้ติดเชื้อไวรัส COVID-19 จำนวน 4-5 คน แต่ปิดข่าว,จากที่มีการส่งต่อข้อความว่า “เชื้อไวรัส COVID-19 เข้าสกลแล้ว พบผู้ติดเชื้อที่รพ.แห่งหนึ่งในจังหวัดสกลนคร อันตรายมากเจอคนติดเชื้อตอนนี้ 4-5 คนแล้ว แต่ปิดข่าว” ทางกระทรวงสาธารณสุขขอแจ้งว่า ขณะนี้ยังไม่มีรายงานการติดเชื้อในจังหวัดดังกล่าว ส่วนเรื่องการปิดข่าวนั้น ขอเรียนให้ทราบว่า ทางรัฐไม่มีนโยบายการปิดข่าว หรือปิดบังข้อมูลแต่อย่างใด,News,7-มี.ค.-20,,
พื้นที่เสี่ยงในพื้นที่กองบังคับการตำรวจนครบาล 5 จำนวน 37 แห่ง,จากกรณีที่มีการโพสต์ข้อความว่า “พื้นที่จุดเสี่ยงในพื้นที่กองบังคับการตำรวจนครบาล 5” ทางกองบังคับการตำรวจนครบาล 5 ได้ออกมาชี้แจงว่า เรื่องดังกล่าวไม่เป็นความจริง ทางกองบังคับการตำรวจนครบาล 5 ไม่ได้เป็นผู้แจ้งข่าวดังกล่าวตามที่มีเผยแพร่ในสื่อออนไลน์,News,1-เม.ย.-20,,
คลิปถ่ายทอดสด ปล้นซูเปอร์มาร์เก็ตในจังหวัดเชียงราย,จากกรณีคลิปถ่ายทอดสด โดยอ้างว่าเป็นการปล้นซูเปอร์มาร์เก็ตในจังหวัดเชียงราย ทางสถานีตำรวจภูธรจังหวัดเชียงรายได้ชี้แจงว่าไม่เป็นความจริง จากการตรวจสอบลิงก์ดังกล่าว พบว่าไม่มีที่มาที่ชัดเจน และเมื่อตรวจสอบกับหน่วยที่ดำเนินการรับแจ้งเหตุในจังหวัดเชียงรายเพิ่มเติม ก็พบว่าไม่มีการรับแจ้งเหตุที่เกี่ยวกับการปล้นตามคลิปดังกล่าว,News,4-เม.ย.-20,,
ธนาคารไทยพาณิชย์ ส่ง SMS ให้ผู้ใช้งานอัปเกรดระบบ,"ข้อความดังกล่าวถูกส่งโดยมิจฉาชีพ โดยทางธนาคารไม่มีนโยบายส่ง SMS, LINE หรือ facebook messenger เพื่อให้ลูกค้ากรอกข้อมูลส่วนตัวแต่อย่างใด",News,4-เม.ย.-20,,
ป้องกันการติดโรคโควิด-19 ด้วยการฉีดวัคซีนปอดอักเสบ,การฉีดวัคซีนปอดอักเสบ ไม่สามารถป้องกันการติดโรคโควิด-19 ได้ ซึ่งวัคซีนปอดอักเสบจะมีผลป้องกันการเกิดปอดอักเสบจากเชื้อที่จำเพาะต่อวัคซีนนั้น ไม่สามารถป้องกันปอดอักเสบที่เกิดจากเชื้อชนิดอื่นได้,News,4-เม.ย.-20,,
มีผู้เสียชีวิตจากการฉีดวัคซีนโควิด-19 เกือบ 100 คน แต่รัฐบาลสั่งปิดข่าว,ปัจจุบันยังไม่มีการรายงานผู้เสียชีวิตจากวัคซีนโควิด-19 แต่อย่างใด,News,4-เม.ย.-20,,
หน้ากากอนามัยที่โพสต์ขายทางออนไลน์ ได้รับบริจาค จากต่างประเทศ,จากกรณีที่มีผู้โพสต์ขายหน้ากากอนามัยผ่านทางอินเทอร์เน็ต โดยอ้างว่าเป็นหน้ากาก ที่ได้รับบริจาค มาจากต่างประเทศนั้น สำนักงานคณะกรรมการอาหารและยา (อย.) ขอยืนยันว่าเรื่องดังกล่าวไม่เป็นความจริง สินค้าที่ขายเป็นคนละรุ่น คนละแบบกับที่ได้รับบริจาค,News,4-เม.ย.-20,,
 เว็บไซต์ลงทะเบียนขอรับวัคซีนโควิด-19 ยี่ห้อไฟเซอร์ สำหรับคนไทย,สำหรับการฉีดวัคซีนไฟเซอร์ในประเทศไทย เป็นการฉีดฟรี ไม่มีการเรียกเก็บค่าใช้จ่ายแต่อย่างใด,News,6-มิ.ย.-20,,
การบินไทยจัดกิจกรรมแจกบัตรโดยสาร ฉลองครบรอบ 60 ปี,บริษัท การบินไทย จำกัด (มหาชน) ไม่ได้เป็นผู้จัดกิจกรรมแจกบัตรโดยสาร และเว็บไซต์ดังกล่าว ไม่มีความเกี่ยวข้องกับการบินไทยแต่อย่างใด,News,6-มิ.ย.-20,,
กองสลากฯ ให้เลขออกรางวัลล่วงหน้า กับคนที่ทำงานในกองสลากฯ,ไม่เป็นความจริง การออกรางวัลของสำนักงานสลากกินแบ่งรัฐบาล ดำเนินการเป็นไปตามมาตรฐาน ISO 9001:2015 มีความโปร่งใส ตรวจสอบได้ ทุกขั้นตอน และไม่มีผู้ใดสามารถทราบผลรางวัลล่วงหน้าได้,News,17-มิ.ย.-20,,
เปลือก และแก่นต้นตะโกนา รักษาโรคมะเร็ง,เปลือก และแก่นต้นตะโกนาไม่เกี่ยวข้องกับการรักษาโรคมะเร็ง และไม่สามารถนำมาใช้รักษามะเร็งได้,News,30-มิ.ย.-20,,
พบผู้ติดเชื้อโควิด-19 ที่วัดสังฆทาน จำนวน 300 ราย, เป็นการนำข้อความเก่าเมื่อเดือนมกราคม 2564 มาแชร์ซ้ำ โดยขณะนี้ยังไม่มีการพบผู้ติดเชื้อโควิด-19 ภายในวัดสังฆทานแต่อย่างใด,News,30-มิ.ย.-20,,
เพียงกรอกรหัสทะเบียนบ้าน ทางรัฐฯจะจัดส่งหน้ากากอนามัยให้ฟรี,จากกรณีที่มีการโพสต์ข้อความ ตามสื่อเรื่อง เพียงกรอกรหัสทะเบียนบ้าน ทางรัฐฯจะจัดส่งหน้ากากอนามัยให้ฟรี ทางสำนักงานปลัดกระทรวงอุตสาหกรรม ได้ชี้แจงถึงประเด็นนี้ว่า ตามมติคณะรัฐมนตรีเมื่อวันที่ 17 มี.ค. 63 ได้มอบหมายให้กระทรวงอุตสาหกรรมในฐานะหน่วยงานที่กำกับดูแลภาคอุตสาหกรรมจัดทำหน้ากากผ้าจำนวน 10 ล้านชิ้น เพื่อแจกจ่ายให้ประชาชน ทั้งนี้ประชาชนไม่ต้องลงทะเบียนหรือดำเนินการใดๆในการขอรับหน้ากากผ้า,News,30-มิ.ย.-20,,
หากพบรอยจุดสีน้ำตาลบนเนื้อกระเทียม แสดงว่าเป็นเชื้อราที่มีพิษ และเป็นสารก่อมะเร็ง,รอยจุดสีน้ำตาลบนเนื้อกระเทียมคือรอยช้ำ จึงส่งผลให้เชื้อราหรือจุลินทรีย์ชนิดอื่น ๆ ปนเปื้อนหรือเข้าไปเจริญอยู่ในบริเวณรอยช้ำนั้น ซึ่งในปัจจุบันยังไม่มีงานวิจัยที่ระบุว่ารอยจุดสีน้ำตาลบนเนื้อกระเทียมนี้มีสารก่อมะเร็ง,News,30-มิ.ย.-20,,
สมุนไพรเคอร่า (Kerra) รักษาโรคโควิด-19,พิจารณาจากสูตรที่ขึ้นทะเบียนตํารับแล้ว พบว่าไม่มีฟ้าทะลายโจรเป็นส่วนประกอบ และมิได้มีสรรพคุณหรือมีฤทธิ์ในการช่วยรักษาการติดเชื้อไวรัสโควิด-19 แต่อย่างใด โดยจากการสืบค้นข้อมูลทางวิชาการ ไม่พบหลักฐานข้อมูลการวิจัยถึงประสิทธิผลและความปลอดภัยในการใช้เพื่อข้อบ่งใช้เพื่อรักษาโรคโควิด-19,News,15-ก.ค.-20,,
กดรีโมทรถใส่โทรศัพท์ เพื่อปลดล็อครถระยะไกล,การกดรีโมทรถใส่โทรศัพท์ เพื่อหวังผลในการปลดล็อครถระยะไกลนั้น ไม่สามารถทำได้ เพราะไมโครโฟนของโทรศัพท์ ไม่สามารถรับสัญญาณความถี่วิทยุที่ออกมาจากรีโมทรถยนต์ได้,News,18-ก.ค.-20,,
น้ำกัญชาคั้นสด ไม่ออกฤทธิ์ต่อประสาท ป้องกัน และรักษาโรคได้ดีกว่าสารสกัดกัญชา, สารสำคัญในกัญชา THC ออกฤทธิ์ต่อจิตและประสาท ไม่ว่าจะการรับประทานในรูปแบบใดก็ตาม และการคั้นทำให้ได้รับสารจากกัญชาให้ปริมาณไม่แน่นอนในแต่ละครั้ง ไม่อาจทำการวิจัยที่แน่ชัดได้ เหมือนกับสารสกัดกัญชา,News,18-ก.ค.-20,,
"ประชาชนคนไทยทุกคน เมื่อเสียชีวิตจะได้สิทธิรับเงินจาก พม. จำนวน 2,000 บาท","การสนับสนุนการสงเคราะห์ในการจัดการศพตามประเพณี ระบุว่า มีการจ่ายเงินค่าจัดการศพ คนละ 3,000 บาท สำหรับผู้สูงอายุที่มีอายุเกิน 60 ปีบริบูรณ์ขึ้นไปและมีสัญชาติไทย อีกทั้งเป็นผู้มีบัตรสวัสดิการแห่งรัฐ รวมถึงผู้สูงอายุซึ่งอยู่ในศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ สถานสงเคราะห์ ",News,18-ก.ค.-20,,
กลืนหมากฝรั่ง ทำให้ลงไปพันลำไส้, เมื่อหมากฝรั่งถูกกลืนจะค่อย ๆ เคลื่อนลงไปตามลำไส้ใหญ่และถูกขับถ่ายออกมาในรูปของอุจจาระ ไม่สามารถลงไปพันลำไส้ตามที่มีการแชร์,News,23-ก.ค.-20,,
อาหารเสริมที่มีส่วนประกอบของพลูคาวหรือคาวตอง ต้านเชื้อไวรัสโควิด -19    ,เป็นการโอ้อวดสรรพคุณที่เกินจริง ยังไม่มีข้อมูลที่ยืนยันว่าผลิตภัณฑ์เสริมอาหารที่มีส่วนประกอบของพลูคาว สามารถรักษาโควิด-19 ได้,News,23-ก.ค.-20,,
ดื่มน้ำกระชาย น้ำผึ้ง มะนาว ช่วยลดน้ำหนัก,การดื่มน้ำกระชาย น้ำผึ้ง มะนาว ไม่สามารถช่วยลดน้ำหนักได้ เนื่องจากกระชายไม่มีสรรพคุณที่เกี่ยวข้องกับการลดน้ำหนัก และน้ำผึ้งมีน้ำตาลในปริมาณมาก หากจะรับประทานน้ำผึ้งเพื่อหวังผลลดน้ำหนักนั้น จึงไม่ควรทำ,News,28-ก.ค.-20,,
“น้ำยาปรับผ้านุ่ม” เป็นภัยร้ายที่มาพร้อมกับความหอม,สารที่ยังใช้เป็นส่วนประกอบในน้ำยาปรับผ้านุ่มคือสารเบนซิลอะซี และเอพิลอะซีเตท เป็นสารที่ให้กลิ่นหอมในกลุ่มเอสเทอร์ ซึ่งสารนี้ไม่มีพิษ และไม่อันตราย,News,30-ก.ค.-20,,
น้ำยาบ้วนปาก ป้องกันการติดเชื้อโควิด-19 ได้,น้ำยาบ้วนปากไม่สามารถป้องกันการติดเชื้อโควิด-19 ได้ เนื่องจากมีส่วนผสมของแอลกอฮอล์เข้มข้นไม่ถึงร้อยละ 20 ซึ่งมีความเข้มข้นน้อยกว่าที่องค์การอนามัยโลก หรือ WHO แนะนำให้ใช้เอทิลแอลกอฮอล์ หรือเอทานอล ความเข้มข้น 70% ขึ้นไปหรือโซเดียมไฮโปคลอไรท์ (NaOCl) ในการฆ่าเชื้อโควิด-19,News,30-ก.ค.-20,,
ครบรอบ 1 ปี ศูนย์ต่อต้านข่าวปลอม ดำเนินคดีผู้กระทำผิดไปแล้ว 61 ราย,ดีอีเอส เผยผลการทำงานของศูนย์ต่อต้านข่าวปลอมร่วมกับ ศปอส.ตร. ปีแรก ดำเนินคดีผู้กระทำผิด 61 ราย ขณะที่ช่วง 11 เดือนแรกของปี 2563 จับกุมผู้โพสต์ข่าวปลอมบนโซเชียลไปแล้ว 104 ราย พร้อมแนะวิธีการ 12 ข้อให้ประชาชนสามารถตรวจสอบข่าวปลอมได้ด้วยตัวเอง,News,1-ก.ย.-20,,
ดื่มน้ำอัญชัน มะนาว โซดา ช่วยรักษาอาการตาพร่ามัว,ยังไม่มีรายงานวิจัยในคนเกี่ยวกับฤทธิ์ทางเภสัชวิทยาของอัญชัน จึงยังไม่สามารถระบุขนาดและวิธีใช้ที่เหมาะสมได้,News,2-ก.ย.-20,,
คฝ. ขับรถกระบะพุ่งชนกลุ่มผู้ชุมนุม แล้วลงมากระทืบซ้ำ, เจ้าหน้าที่ตำรวจใช้รถกระบะขวางการหลบหนีของกลุ่มผู้ชุมนุมเท่านั้น ไม่ได้มีการพุ่งชน และไม่ได้มีการกระทำการรุมกระทืบหรือทำร้ายผู้เข้าร่วมชุมนุมแต่อย่างใด อีกทั้งไม่พบว่ามีบุคคลที่ถูกจับกุมในพื้นที่การชุมนุมใต้ทางด่วนดินแดงเสียชีวิต,News,23-ต.ค.-20,,
เตือนประชาชนระวัง ไข้หวัดใหญ่ระบาด แนะอย่าขาดน้ำ,เป็นการนำข้อมูลเท็จมาแชร์ซ้ำอีกครั้ง โดยรักษาความชุ่มชื้นของเยื่อเมือกลำคอ เพื่อไม่ให้เชื้อโรคจะเข้าสู่ร่างกายนั้น ไม่มีข้อเท็จจริงทางการแพทย์ อีกทั้งอาการคอแห้งหรือคอไม่แห้ง ถ้ามีเชื้อไวรัสไข้หวัดใหญ่เข้ามาสู่ระบบทางเดินหายใจ แล้วเราไม่มีภูมิต้านทานต่อไวรัสนั้น เชื้อโรคก็จะเข้าสู่ร่างกายได้,News,23-ต.ค.-20,,
ดื่มน้ำโซดา ช่วยทำให้อาหารย่อยได้ง่ายขึ้น,โซดาไม่มีส่วนช่วยในการย่อยอาหาร และยังไม่มีการศึกษาใดยืนยันได้ว่าการดื่มโซดาช่วยย่อยอาหารได้ ,News,4-พ.ย.-20,,
ห้ามกินลูกพลับ ต่อด้วยนมเปรี้ยวและกล้วยหอม ทำให้เป็นพิษต่อร่างกาย,ยังไม่มีงานวิจัยระบุว่าการกินพลับตามด้วยนมเปรี้ยวและกล้วยหอม จะมีสารอาหารที่ออกฤทธิ์เสริมกันแล้วก่อให้เกิดพิษต่อร่างกาย หรือทำให้เสียชีวิตได้,News,9-ธ.ค.-20,,
ดีท็อกซ์ลำไส้ ด้วยสูตรน้ำส้มสายชู โยเกิร์ต และน้ำอัดลม ข่าวปลอม อย่าแชร์!,จากที่มีการแชร์ข้อมูลว่าให้นำน้ำส้มสายชู 2 ช้อนโต๊ะ นมเปรี้ยว 2 ขวดเล็ก และน้ำสไปรท์ 1 ขวดเล็ก มาผสมรวมกันแล้วดื่มเพื่อลดน้ำหนักนั้น นักปฏิบัติการวิจัยของสถาบันโภชนาการ ได้ให้ข้อมูลว่า จากสูตรดังกล่าวไม่สามารถช่วยลดน้ำหนักได้ แถมยังมีโอกาสเพิ่มน้ำหนัก เพิ่มการสะสมของไขมันบริเวณหน้าท้องอีกด้วย เมื่อพิจารณาสูตรจากส่วนผสมที่ละอย่าง,News,15-ม.ค.-21,,
รัฐบาล ปรับขึ้นภาษีมูลค่าเพิ่มเป็น 8%, ปัจจุบันยังคงจัดเก็บภาษีมูลค่าเพิ่มอยู่ในอัตรา 7% และตามมติคณะรัฐมนตรีมีการเห็นชอบให้ขยายระยะเวลาการลดอัตราภาษีมูลค่าเพิ่มที่ 7% จนถึงวันที่ 30 กันยายน 2564,News,20-ม.ค.-21,,
ยกเลิกการเกณฑ์ทหาร ป้องกัน COVID-19,ในประเด็นเรื่อง ยกเลิกเกณฑ์ทหาร ป้องกัน COVID-19 ทางศูนย์ต่อต้านข่าวปลอมได้ตรวจสอบข้อเท็จจริงกับ กองทัพบก กระทรวงกลาโหม พบว่าข้อมูลดังกล่าวนั้น เป็นข้อมูลเท็จ,News,21-ม.ค.-21,,
เล่นมือถือในที่มืดนาน ทำให้เป็นมะเร็งตาหรือตาบอดถาวร,ทั้งนี้ปัจจัยที่ทำให้เกิดความเสี่ยงของโรคมะเร็งตา ได้แก่ อายุที่เพิ่มมากขึ้น ความผิดปกติของเม็ดสีเมลานินในดวงตา หรือเกิดจากความผิดปกติของยีน เป็นต้น สำหรับคนไทยโรคมะเร็งตาในผู้ใหญ่พบได้น้อยมาก อย่างไรก็ตาม สามารถพบได้ในเด็กและมักมีอายุต่ำกว่า 5 ปี คือ โรคมะเร็งจอประสาทตา ซึ่งเกิดจากความผิดปกติทางพันธุกรรม แต่ก็เป็นโรคที่พบได้ไม่บ่อยเช่นกัน,News,21-ม.ค.-21,,
ห้ามเพิ่มเพื่อน Line Official “ไทยชนะ”,Line Official Account ไทยชนะ เป็นบัญชีของจริง จัดทำเพื่อแจ้งข่าวสารที่เกี่ยวข้องกับโควิด-19 หรือในกรณีฉุกเฉินต่างๆ,News,21-ม.ค.-21,,
แอปฯ ‘หมอชนะ app ภาษาไทย – Morchana’,"แอปฯ ที่ใช้ชื่อว่า ‘หมอชนะ app ภาษาไทย – Morchana’ ที่ให้บริการโดย YOLO Studio Application เป็นแอปปลอม ของจริงจะใช้ชื่อว่า ‘MorChana – หมอชนะ’ ซึ่งให้บริการโดย Digital Government Development Agency, Thailand",News,21-ม.ค.-21,,
