title,text,subject,date,
พื้นที่ภาคเหนือ ภาคตะวันตก และภาคกลาง ให้ระวังผลกระทบทางสุขภาพจากฝุ่น PM2.5,ตามที่มีการเผยแพร่ข้อมูลประเด็นเรื่อง พื้นที่ภาคเหนือ ภาคตะวันตก และภาคกลาง ให้ระวังผลกระทบทางสุขภาพจากฝุ่น PM2.5 ทางศูนย์ต่อต้านข่าวปลอมได้ตรวจสอบข้อเท็จจริงกับ กรมควบคุมโรค กระทรวงสาธารณสุข พบว่าข้อมูลดังกล่าวนั้น เป็นข้อมูลจริง,News,17-มิ.ย.-21,
ศบค. ไฟเขียว สธ. สั่งซื้อวัคซีนเพิ่มอีก 50 ล้านโดสปีหน้า มากกว่าครึ่งเป็นของซิโนแวค,วัคซีนต้านโควิด-19 ตามที่กระทรวงสาธารณสุขเสนอเป็น 150 ล้านโดสภายในปีหน้า,News,18-มิ.ย.-21,
สายพันธุ์เดลตารุกอินโดนีเซีย บุคลากรการแพทย์นับร้อยติดเชื้อหลังฉีดซิโนแวค ห่วงไทยเดินตาม,แพทย์และบุคลากรทางการแพทย์กว่า 350 คน ในอินโดนีเซียติดเชื้อโควิด-19 และหลายสิบคนมีอาการหนักจนต้องรับการรักษาตัวในโรงพยาบาลแม้รับวัคซีนซิโนแวคไปแล้ว ในขณะที่สายพันธุ์เดลตากำลังระบาดในประเทศ,News,22-มิ.ย.-21,
“แลมบ์ดา” ไวรัสสายพันธุ์ใหม่ อันตรายกว่าเดลตาจริงหรือ,"บุคลากรด้านสาธารณสุขทั่วโลกกำลังจับตาดูความเคลื่อนไหวของไวรัสโควิดสายพันธุ์ใหม่ชื่อว่า ""แลมบ์ดา"" (Lambda) หรือสายพันธุ์ C.37 ซึ่งกำลังแพร่ระบาดหนักในภูมิภาคอเมริกาใต้ โดยการกลายพันธุ์ที่ซับซ้อนและมีลักษณะพิเศษของมัน ทำให้น่าหวั่นเกรงว่าอาจเป็นอีกสายพันธุ์หนึ่งที่สามารถเกิดการระบาดได้รวดเร็วและรุนแรงเกินคาด",News,7-ก.ค.-21,
ลาวพร้อมเปิดเส้นทาง 3 ธ.ค. เส้นต่อไทย-มาเลเซีย-สิงคโปร์อีกนาน,โครงการรถไฟระหว่างตอนใต้ของจีนถึงเมืองหลวงของลาวมูลค่าเกือบ 6 พันล้านเหรียญสหรัฐ ระยะทาง 414 กม. พร้อมเปิดให้บริการในวันที่ 3 ธ.ค. นี้ ซึ่งจะเชื่อมโครงข่ายคมนาคมระบบรางเชื่อมจีนและชาติอาเซียน ตามแผนการหนึ่งแถบหนึ่งเส้นทางของจีน,News,17-ก.ค.-21,
สสส. เดินหน้า “สังคมปลอดบุหรี่” จับมือพันธมิตร ดึง 37 ประเทศทั่วโลกร่วมงาน APACT 2021,การสูบบุหรี่นอกจากจะสร้างผลร้ายต่อสุขภาพของนักสูบแล้ว ยังส่งผลร้ายต่อคนรอบข้างและสังคมไทยในฐานะผู้สูบบุหรี่มือสองและผู้สูบบุหรี่มือสามได้แบบไม่ตั้งใจอีกด้วย หรือกล่าวได้ว่า “บุหรี่” นั้นไม่เป็นผลดีต่อใครเลย สำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ (สสส.) องค์กรที่ขับเคลื่อนกระบวนการสร้างเสริมสุขภาพแก่คนไทย กำหนดให้ “การควบคุมยาสูบ” เป็น 1 ใน 15 แผนหลัก เพื่อสร้างสังคมปลอดบุหรี่และสังคมสุขภาวะที่น่าอยู่ให้เกิดขึ้นในสังคมไทย,News,8-ก.ย.-21,
ครม. อนุมัติงบ 965 ล้านบาท ให้สภากาชาดไทย จัดหาวัคซีนโมเดอร์นา ฉีดให้ประชาชนกลุ่มเป้าหมาย ฟรี 1 ล้านโดส,ตามที่มีการนำเสนอข่าวประเด็นเรื่อง ครม. อนุมัติงบ 965 ล้านบาท ให้สภากาชาดไทย จัดหาวัคซีนโมเดอร์นา ฉีดให้ประชาชนกลุ่มเป้าหมาย ฟรี 1 ล้านโดส ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย กรมประชาสัมพันธ์ สำนักนายกรัฐมนตรี พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,15-ก.ย.-21,
กรมการแพทย์แผนไทยฯ แนะนํากินสมุนไพรไทย ก่อน ระหว่างและหลังติดเชื้อโควิด-19,ตามที่มีการนำเสนอข่าวเกี่ยวกับประเด็นเรื่อง กรมการแพทย์แผนไทยฯ แนะนํากินสมุนไพรไทย ก่อน ระหว่างและหลังติดเชื้อโควิด-19 ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย กรมการแพทย์แผนไทยและการแพทย์ทางเลือก กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,18-ก.ย.-21,
สธ. พร้อมฉีดวัคซีนบูสเตอร์ให้ผู้ที่ฉีดซิโนแวค เริ่ม 24 ก.ย. แจ้งนัดคิวผ่านหมอพร้อมและ SMS ,ตามที่มีการเผยแพร่ข่าวสารในสื่อออนไลน์เรื่อง สธ. พร้อมฉีดวัคซีนบูสเตอร์ให้ผู้ที่ฉีดซิโนแวค เริ่ม 24 ก.ย. แจ้งนัดคิวผ่านหมอพร้อมและ SMS ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับ กรมควบคุมโรค กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,22-ก.ย.-21,
ครม. มีมติจัดซื้อ วัคซีนแอสตร้าเซนเนก้า จำนวน 60 ล้านโดส สำหรับปี 2565,ตามที่มีการนำเสนอข่าวในสื่อต่างๆ เรื่อง ครม. มีมติจัดซื้อ วัคซีนแอสตร้าเซนเนก้า จำนวน 60 ล้านโดส สำหรับปี 2565 ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย กรมประชาสัมพันธ์ สำนักนายกรัฐมนตรี พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,30-ก.ย.-21,
องค์การเภสัชฯ เตรียมขายชุดตรวจโควิด ATK ชุดละ 40 บาท ผ่านร้านขายยา เริ่ม 18 ต.ค. 64,ตามที่มีการนำเสนอข่าวผ่านสื่อต่างๆ เรื่อง องค์การเภสัชฯ เตรียมขายชุดตรวจโควิด ATK ชุดละ 40 บาท ผ่านร้านขายยา เริ่ม 18 ต.ค. 64 ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย องค์การเภสัชกรรม กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,5-ต.ค.-21,
‘โมลนูพิราเวียร์’ โอกาสในการรักษาอาการโควิด-19,เมอร์ค (Merck) บริษัทเวชภัณฑ์รายใหญ่สหรัฐฯ เผยแพร่ผลการศึกษาระยะ 3 ของยา โมลนูพิราเวียร์ ในการรักษาอาการโควิด-19 ว่าสามารถลดอัตราการป่วยหนัก และการเสียชีวิตได้ ขณะนี้อยู่ระหว่างเตรียมขอขึ้นทะเบียนให้เป็นกรณีฉุกเฉินจากสำนักงานอาหารและยาของสหรัฐฯ หรือ FDA ซึ่งหากผ่านแล้วเท่ากับว่า โมลนูพิราเวียร์ จะเป็นยาเม็ดแบบรับประทานชนิดแรกของโลกในการรักษาอาการป่วยโควิด-19,News,6-ต.ค.-21,
นักเรียนที่ได้รับผลข้างเคียงหลังฉีดวัคซีนโควิด-19 สามารถยื่นเรื่องรับเงินช่วยเหลือได้ สูงสุดไม่เกิน 4 แสนบาท,ตามที่มีการนำเสนอข่าว เกี่ยวกับประเด็นเรื่อง นักเรียนที่ได้รับผลข้างเคียงหลังฉีดวัคซีนโควิด-19 สามารถยื่นเรื่องรับเงินช่วยเหลือได้ สูงสุดไม่เกิน 4 แสนบาท ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย สำนักงานหลักประกันสุขภาพแห่งชาติ กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,8-ต.ค.-21,
ศูนย์ฉีดวัคซีนกลางบางซื่อ เปิดจองคิวฉีดวัคซีนโควิด-19 เข็ม 1 และเข็ม 3 ผ่านเครือข่ายโทรศัพท์ เริ่ม 7 ต.ค. 64 เป็นต้นไป,ตามที่มีการนำเสนอข่าวประเด็นเรื่อง ศูนย์ฉีดวัคซีนกลางบางซื่อ เปิดจองคิวฉีดวัคซีนโควิด-19 เข็ม 1 และเข็ม 3 ผ่านเครือข่ายโทรศัพท์ เริ่ม 7 ต.ค. 64 เป็นต้นไป ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย กรมการแพทย์ กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,9-ต.ค.-21,
โอนเงินเยียวยางวดแรก 32 ล้าน ช่วยแท็กซี่-จยย.รับจ้าง อายุเกิน 65 ปี,"กรมขนส่งทางบก สรุปยอดโอนเงินช่วยเหลือผู้ขับรถแท็กซี่และมอเตอร์ไซค์รับจ้าง อายุเกิน 65 ปี ที่ได้รับผลกระทบจากโควิด 29 จังหวัดควบคุมสูงสุด รอบแรก 32 ล้านบาท จากผู้ลงทะเบียนทั่วประเทศทั้งสิ้น 10,789 คน ",News,11-ต.ค.-21,
นายกฯ รับมอบไม้พาย ‘waka’ ต่อจากนิวซีแลนด์ ไทยพร้อมเป็นเจ้าภาพเอเปค ปี 2022,ไทยรับมอบตำแหน่งการเป็นเจ้าภาพเอเปค นายกฯ ประกาศแนวคิดหลัก “เปิดกว้างสร้างสัมพันธ์ เชื่อมโยงกัน สู่สมดุล” พร้อมต้อนรับผู้นำเขตเศรษฐกิจทุกคน ในปี 2565,News,11-ต.ค.-21,
รับมือภาวะ ‘ซึมเศร้าหลังคลอด’ อาการที่คนเป็นแม่ต้องเผชิญ,พญ.มธุรดา สุวรรณโพธิ์ ผอ.สถาบันราชานุกูล กรมสุขภาพจิต เผยว่า แม่เศร้ามักจะเกิดในผู้หญิงที่หลังคลอดลูก ในช่วง 3 เดือนแรกซึ่งปกติจะมีระดับเรียกว่า Maternal blue เป็นภาวะปกติ ซึ่งหญิงตั้งครรภ์ ฮอร์โมนจะขึ้นสูงมาก เพื่อที่จะเลี้ยงทารกในครรภ์ พอคลอดออกมาแล้วฮอร์โมนนั้นไม่ได้ใช้ ก็จะเกิดภาวะที่ฮอร์โมนเอสโตรเจนและโปรเจสเตอโร จะสลับกัน ก็จะทำให้เกิดอารมณ์ที่หงุดหงิดง่าย แต่ Maternal blue จะเกิดเพียงแค่อาทิตย์เดียวหลังจากคลอด แต่แม่เศร้าหรือภาวะซึมเศร้าหลังคลอดมันจะยังคงอยู่ต่อไปเรื่อยๆ,News,11-ต.ค.-21,
สช. ดันร่างแก้ปัญหา PM 2.5 เน้นป้องกันลดต้นเหตุ บริหารพื้นที่ พัฒนาด้านวิชาการ,กล่าวว่า เรื่องฝุ่นละอองขนาดเล็ก PM 2.5 เป็นปัญหาสุขภาพและเศรษฐกิจของคนในประเทศและภูมิภาค สช. จึงร่วมกับสำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ (สสส.) และกรมควบคุมมลพิษ ในการจัดประชุมสมัชชาสุขภาพเฉพาะประเด็น ว่าด้วยการจัดการปัญหามลพิษทางอากาศจากฝุ่น PM 2.5 ที่มีผลกระทบต่อสุขภาพ ซึ่งก่อนหน้านี้มีข้อเสนอจากการหารือกันหลายเวทีกว่า 7 เวที ตั้งแต่ปี 2563 วันนี้จึงเป็นการหาฉันทมติและสรุปเป็นข้อเสนอเชิงนโยบาย เพื่อให้คณะกรรมการสุขภาพแห่งชาติ (คสช.) พิจารณาเพื่อการขับเคลื่อนระบบต่อไป,News,11-ต.ค.-21,
ฟูจิฟิล์ม พัฒนาเครื่องอัลตราซาวนด์แบบเคลื่อนที่ FUJIFILM Sonosite สำหรับ Point of Care ในสถานการณ์โควิด-19,ในสถานการณ์การระบาดของโรคโควิด-19 ที่ทวีความรุนแรง จำนวนตัวเลขของผู้ติดเชื้อโควิด-19 สูงขึ้นอย่างต่อเนื่อง เป็นที่น่ากังวลเป็นอย่างมากต่อการรักษาของผู้ป่วยให้ทันท่วงที สำหรับในโรงพยาบาลต่างๆ ขณะนี้การรับผู้ป่วยจึงจำเป็นที่จะต้องตรวจคัดกรองผู้ป่วยเบื้องต้น โดยเฉพาะอย่างยิ่งในแผนกฉุกเฉิน (ER) ที่มีผู้ป่วยเข้ามารักษาในกรณีฉุกเฉิน และบางครั้งอาการสาหัสหรือเกิดอุบัติเหตุ,News,11-ต.ค.-21,
‘อนุทิน’ ตรวจเยี่ยมโรงงานต้นแบบวัคซีนโควิด ‘จุฬาฯ-ใบยา’ เริ่มทดสอบในคนเฟส 1 ต้นกันยายนนี้,รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงสาธารณสุข ตรวจเยี่ยมโรงงานต้นแบบผลิตวัคซีนโควิดชนิดโปรตีนซับยูนิตจากใบยาสูบ โดยจุฬาฯ-ใบยา เผยมีความคืบหน้าต้นเดือนกันยายน เริ่มทดสอบในมนุษย์เฟส 1 คาดไตรมาส 3 ปี 2565 ผลิตใช้ได้ 60 ล้านโดสต่อปี สามารถปรับปรุงรองรับสายพันธุ์ใหม่ได้,News,11-ต.ค.-21,
อังกฤษถอนประเทศไทยออกจากบัญชีแดง หากฉีดวัคซีนที่สอ. รองรับ เดินทางเข้าประเทศได้โดยไม่ต้องกักตัว ,ตามที่มีการเผยแพร่ข้อมูลประเด็นเรื่อง อังกฤษถอนประเทศไทยออกจากบัญชีแดง หากฉีดวัคซีนที่สอ. รองรับ เดินทางเข้าประเทศได้โดยไม่ต้องกักตัว ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย กรมสารนิเทศ กระทรวงการต่างประเทศ พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,14-ต.ค.-21,
WHO ถกด่วนโควิดกลายพันธุ์แอฟริกาใต้ หลบภูมิ-แพร่เก่งขึ้น,องค์การอนามัยโลก (WHO) เตรียมหารือเรื่องไวรัสโคโรนากลายพันธุ์ตัวใหม่ B.1.1.529 ในแอฟริกาใต้ อาจเป็นสายพันธุ์อันตรายที่สุด ด้านอังกฤษสั่งระงับเที่ยวบินขาเข้าจาก 6 ประเทศในแอฟริกาใต้ทันทีแล้ว.,News,21-ต.ค.-21,
ไต้หวันยึดเฮโรอีนล็อตใหญ่ ซุกไม้ท่อนส่งมาจากไทย,"จากการตรวจสอบพบไม้แปรรูปจำนวน 2,500 ท่อน ที่ส่งมาจากประเทศไทย เมื่อเอกซเรย์ตรวจสอบและผ่าออก พบเฮโรอีนอัดแท่งจำนวน 1,172 แท่ง น้ำหนัก 446.8 ก.ก.ซ่อนอยู่ข้างใน คิดเป็นมูลค่าราว 5,000 ล้านดอลลาร์ไต้หวัน หรือราว 6,000 ล้านบาท ขณะนี้ทางการไต้หวันได้ออกหมายจับนายหลิน ซึ่งเป็นผู้ต้องสงสัยคนสำคัญที่คาดว่าได้หลบหนีไปยังประเทศจีนแล้ว",News,21-ต.ค.-21,
โกลาหล! แย่งคิวฉีดวัคซีนไฟเซอร์ที่สงขลา,มีผู้ใช้ TilTok รายหนึ่งได้นำภาพคลิปมาเผยแพร่ เป็นภาพประชาชน ที่ อ.สิงหนคร จ.สงขลา เป็นคนออกันเพื่อแย่งคิวในการฉีดวัคซีนไฟเซอร์ ผู้ที่โพสต์ระบุว่า วัคซีนเป็นเหตุ การจัดการที่ล้มเหลวสั่งปิดสถานที่ แต่คุณกลับมาสร้างคัตเตอร์เอง ขณะที่ผู้ที่ได้ดูคลิปต่างก็เข้ามาคอมเมนต์ว่า จากจะฉีดเพื่อป้องกันโควิด 19 แต่จะกลายเป็นที่สร้างคลัสเตอร์ใหม่หรือเปล่า,News,21-ต.ค.-21,
เจ้านโรดม รณฤทธิ์ อดีตนายกฯ กัมพูชา สิ้นพระชมน์ที่ฝรั่งเศส,เจ้านโรดม รณฤทธิ์ อดีตนายกฯ กัมพูชา สิ้นพระชมน์ที่ฝรั่งเศส ขณะมีพระชนมายุ 77 พรรษา เผยประชวรตั้งแต่อุบัติเหตุคร่าชายา,News,21-ต.ค.-21,
‘ออสเตรเลีย’ ยุติล็อกดาวน์นานที่สุดในโลก,ชาวเมืองเมลเบิร์นของออสเตรเลียต่างพากันเฉลิมฉลองด้วยความยินดี หลังรัฐวิกตอเรียผ่อนคลายมาตรการล็อกดาวน์ควบคุมการแพร่ระบาดโควิด-19 เมื่อเวลา 23.59 นาที ของเมื่อคืนนี้ตามเวลาท้องถิ่น,News,23-ต.ค.-21,
เดลตาพลัส AY.4.2 เชื้อกลายพันธุ์ชนิดใหม่,ขณะนี้หลายประเทศเริ่มจับตาการระบาดของเชื้อไวรัสที่มีชื่อว่า AY.4.2 หรือที่บางคนเรียกว่าเดลตาพลัส โดยเฉพาะในสหราชอาณาจักรที่ได้เริ่มให้มีการสืบสวนเกี่ยวกับเชื้อชนิดนี้ที่เริ่มระบาดมากขึ้นเรื่อย ๆ ตัวเลขล่าสุดในเดือนตุลาคม 2021 ชี้ว่าผู้ป่วยโรคโควิดราว 6% ติดเชื้อสายพันธุ์นี้ แต่ถึงอย่างนั้นเชื้อโรคโควิดที่ระบาดหนักที่สุดในสหราชอาณาจักรตอนนี้ก็ยังเป็นสายพันธุ์เดลตา,News,27-ต.ค.-21,
"ลดราคาค่าตรวจเชื้อโควิด-19 วิธี RT-PCR เหลือไม่เกิน 1,600 บาท","ตามที่มีข่าวปรากฏในสื่อต่างๆ เกี่ยวกับประเด็นเรื่อง ลดราคาค่าตรวจเชื้อโควิด-19 วิธี RT-PCR เหลือไม่เกิน 1,600 บาท ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย กรมวิทยาศาสตร์การแพทย์ กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง",News,28-ต.ค.-21,
สธ. จัดส่งวัคซีนโควิด-19 เพิ่ม 7 แสนโดสให้เชียงใหม่ ฉีดให้ครอบคลุม 100% ภายใน พ.ย. นี้ ,ตามที่มีการเผยแพร่ข้อมูลประเด็นเรื่อง สธ. จัดส่งวัคซีนโควิด-19 เพิ่ม 7 แสนโดสให้เชียงใหม่ ฉีดให้ครอบคลุม 100% ภายใน พ.ย. นี้ ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย กรมควบคุมโรค กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,3-พ.ย.-21,
วัคซีนจะส่งผลข้างเคียงต่อรอบเดือนและการเจริญพันธุ์ของผู้หญิงหรือไม่,ฉีดวัคซีนต้านโควิดในระหว่างตั้งครรภ์ หรือในช่วงมีประจำเดือนได้ไหม แล้ววัคซีนจะทำให้ประจำเดือนผิดปกติ หรือส่งผลเสียต่อระบบเจริญพันธุ์ในระยะยาวหรือไม่ เหล่านี้คือคำถามที่กำลังสร้างความกังวลใจให้ผู้หญิงหลายคน,News,9-พ.ย.-21,
สิงคโปร์ ออกกฎ คนไม่ฉีดวัคซีน หากติดโควิด-19 ต้องออกค่ารักษาเอง,กระทรวงสาธารณสุขของสิงคโปร์ ได้แถลงข่าวเมื่อวันจันทร์ที่ผ่านมา ถึงการออกกฎระเบียบใหม่ ที่กำหนดให้ประชาชนที่เลือกไม่รับการฉีดวัคซีนป้องกันไวรัสโควิด-19 หากติดเชื้อไวรัสโควิด จนมีอาการป่วยถึงขั้นต้องเข้ารับการรักษาที่โรงพยาบาล จะต้องเสียค่าใช้จ่ายในรักษาพยาบาลเอง โดยทางการจะไม่มีให้การรักษาฟรีอีกต่อไป ซึ่งจะมีผลตั้งแต่วันที่ 8 ธ.ค.นี้เป็นต้นไป,News,9-พ.ย.-21,
กทม. เปิดศูนย์ฉีดวัคซีนป้องกันโควิด 19 ให้บริการประชาชนทุกกลุ่มทุกสัญชาติ,ตามที่มีการนำเสนอข่าวสารในประเด็นเรื่อง กทม. เปิดศูนย์ฉีดวัคซีนป้องกันโควิด 19 ให้บริการประชาชนทุกกลุ่มทุกสัญชาติ ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย สำนักงานประชาสัมพันธ์ กรุงเทพมหานคร พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,21-พ.ย.-21,
